[2026-06-01 13:05:43,425][__main__][INFO] - Epoch 002 | train_total 0.0101 | train_normal 0.0002 | train_anomaly 0.0198 | val_total 0.0101
[2026-06-01 13:05:45,121][__main__][INFO] - Epoch 003 | train_total 0.0101 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 13:05:46,848][__main__][INFO] - Epoch 004 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0199 | val_total 0.0100
[2026-06-01 13:05:48,730][__main__][INFO] - Epoch 005 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:05:50,445][__main__][INFO] - Epoch 006 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:05:52,172][__main__][INFO] - Epoch 007 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:05:53,891][__main__][INFO] - Epoch 008 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:05:55,579][__main__][INFO] - Epoch 009 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:05:57,268][__main__][INFO] - Epoch 010 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:05:58,945][__main__][INFO] - Epoch 011 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:00,612][__main__][INFO] - Epoch 012 | train_total 0.0100 | train_normal 0.0000 | train_anomaly 0.0200 | val_total 0.0100
[2026-06-01 13:06:02,286][__main__][INFO] - Epoch 013 | train_total 0.0100 | train_normal 0.0001 | train_anomaly 0.0197 | val_total 0.0102
[2026-06-01 13:06:03,958][__main__][INFO] - Epoch 014 | train_total 0.0098 | train_normal 0.0002 | train_anomaly 0.0192 | val_total 0.0102
[2026-06-01 13:06:05,630][__main__][INFO] - Epoch 015 | train_total 0.0094 | train_normal 0.0003 | train_anomaly 0.0183 | val_total 0.0102
[2026-06-01 13:06:07,305][__main__][INFO] - Epoch 016 | train_total 0.0088 | train_normal 0.0002 | train_anomaly 0.0172 | val_total 0.0109
[2026-06-01 13:06:08,986][__main__][INFO] - Epoch 017 | train_total 0.0090 | train_normal 0.0003 | train_anomaly 0.0174 | val_total 0.0104
[2026-06-01 13:06:10,656][__main__][INFO] - Epoch 018 | train_total 0.0079 | train_normal 0.0002 | train_anomaly 0.0156 | val_total 0.0138
[2026-06-01 13:06:12,327][__main__][INFO] - Epoch 019 | train_total 0.0072 | train_normal 0.0001 | train_anomaly 0.0143 | val_total 0.0147
[2026-06-01 13:06:14,002][__main__][INFO] - Epoch 020 | train_total 0.0068 | train_normal 0.0000 | train_anomaly 0.0135 | val_total 0.0149
[2026-06-01 13:06:15,674][__main__][INFO] - Epoch 021 | train_total 0.0065 | train_normal 0.0000 | train_anomaly 0.0129 | val_total 0.0147
[2026-06-01 13:06:17,369][__main__][INFO] - Epoch 022 | train_total 0.0081 | train_normal 0.0016 | train_anomaly 0.0131 | val_total 0.0121
[2026-06-01 13:06:19,049][__main__][INFO] - Epoch 023 | train_total 0.0067 | train_normal 0.0001 | train_anomaly 0.0131 | val_total 0.0124
[2026-06-01 13:06:20,737][__main__][INFO] - Epoch 024 | train_total 0.0067 | train_normal 0.0003 | train_anomaly 0.0128 | val_total 0.0130
[2026-06-01 13:06:22,584][__main__][INFO] - Epoch 025 | train_total 0.0065 | train_normal 0.0001 | train_anomaly 0.0126 | val_total 0.0139
[2026-06-01 13:06:24,247][__main__][INFO] - Epoch 026 | train_total 0.0072 | train_normal 0.0003 | train_anomaly 0.0138 | val_total 0.0128
